config,alpha,epsilon,gamma,f_500,f_1000,f_2000,f_4000,f_8000
27,0.016563823126217698,0.40701019233301733,0.9166972919907704,28.233333333333334,28.233333333333334,46.57333333333333,61.026666666666664,61.806666666666665
28,0.0011698662699477448,0.045023930387820876,0.972235935059645,11.44,11.44,11.44,11.44,11.44
29,0.024301422203106174,0.0806358895168009,0.9501044775103363,12.966666666666667,12.966666666666667,12.966666666666667,22.26666666666667,36.673333333333325
30,0.0028637579520267658,0.348160187538868,0.9446156275574031,35.22666666666667,35.22666666666667,35.22666666666667,35.22666666666667,50.346666666666664
31,0.013901564475150454,0.15075604457393826,0.9630282593118888,21.793333333333333,21.793333333333333,21.793333333333333,30.713333333333328,36.599999999999994
32,0.012174127103076254,0.0438249596580505,0.9118005902120515,8.38,8.38,8.38,8.38,8.38
33,0.768586927763715,0.4542903453538035,0.969970713381075,32.800000000000004,6.84,42.64,33.89333333333334,30.526666666666667
34,0.006274944433721239,0.48458818867386194,0.9778750903965795,57.68000000000001,57.68000000000001,57.68000000000001,58.03333333333333,61.026666666666664
35,0.14147202418743066,0.22468075107189434,0.9272241561845159,37.199999999999996,61.73333333333333,61.806666666666665,61.73333333333333,61.73333333333333
36,0.001946134655984507,0.45130119827192083,0.9455776289833611,46.22,46.22,46.22,46.22,57.68000000000001
37,0.004046598296680731,0.15297831207532625,0.9579219568941896,21.793333333333333,21.793333333333333,21.793333333333333,21.793333333333333,30.713333333333328
38,0.0033909262851589184,0.42830714204618775,0.975851952983521,50.61333333333332,50.61333333333332,50.61333333333332,50.61333333333332,50.61333333333332
39,0.1440087457349415,0.21604651988755186,0.9627308840702443,44.14000000000001,61.32,61.806666666666665,61.806666666666665,37.68666666666667
40,0.05653194226354675,0.32492330077741,0.908444432113989,35.93333333333333,59.61333333333334,61.026666666666664,54.06666666666666,61.806666666666665
41,0.01767755538170762,0.02080708693094624,0.9493990819244519,8.38,8.38,8.38,8.38,8.38
42,0.009763007816062846,0.07226209443302345,0.9103402967722551,12.966666666666667,12.966666666666667,12.966666666666667,12.966666666666667,22.26666666666667
43,0.0579340268842185,0.08529648426844305,0.9925120118376797,12.966666666666667,12.966666666666667,36.673333333333325,45.47333333333333,61.026666666666664
44,0.0553583859400274,0.17343490226741853,0.9590915491481417,23.05333333333333,43.54,53.60666666666666,61.099999999999994,61.39333333333334
45,0.001170608337758876,0.47927960662072266,0.94823034369429,57.68000000000001,57.68000000000001,57.68000000000001,57.68000000000001,57.68000000000001
46,0.22294907855177507,0.041364999961219284,0.948665833083816,20.74,21.76,60.453333333333326,61.806666666666665,61.806666666666665
47,0.029656574289180462,0.4689132274874914,0.9571728052376075,46.57333333333333,59.09333333333333,61.32,61.806666666666665,61.806666666666665
48,0.026331051540749363,0.1334878315459468,0.9331568997342552,12.733333333333334,12.733333333333334,33.49333333333333,33.49333333333333,53.60666666666666
49,0.036476839932369616,0.21945573015252334,0.902161207988033,30.78666666666666,36.673333333333325,44.806666666666665,61.026666666666664,61.32
50,0.30121442945455484,0.44808038591988336,0.9140249088998611,46.47333333333333,34.32,61.806666666666665,52.52,61.44
51,0.0459312675449935,0.054287870567721774,0.9672240093039812,8.38,8.38,17.68,17.68,35.78
52,0.006977524201596251,0.3297113173459509,0.9726994614286882,21.713333333333335,21.713333333333335,21.713333333333335,21.713333333333335,50.81333333333333
53,0.20227512384830168,0.05387047297794828,0.9916011845137608,17.68,17.68,38.406666666666666,53.60666666666666,61.51333333333333
54,0.00490503344182684,0.01870627808808989,0.9554852469391484,11.44,11.44,11.44,11.44,11.44
55,0.012964830748893102,0.4148948715662066,0.9808251472064302,30.706666666666667,44.92666666666667,50.81333333333333,52.22666666666666,61.44
56,0.008941629659134288,0.4764496975348725,0.9290917838140119,57.68000000000001,57.68000000000001,57.68000000000001,61.026666666666664,61.73333333333333
57,0.0350890320147388,0.12798254528380137,0.9936043570048964,13.88,13.88,23.180000000000003,44.73333333333333,59.96666666666667
58,0.0031176219661306543,0.022455309696164494,0.9435097060003038,8.38,8.38,8.38,8.38,8.38
59,0.9486951758165578,0.445838633127457,0.9748608019456949,22.100000000000005,35.18,13.853333333333333,35.04666666666666,31.453333333333333
